Organisation,Organisation Label,UPRN,AssetCode,Site Address,GeoX,GeoY,TenureType,Tenure Detail,Holding Type
Cheltenham Borough Council,23UB,010012809147,09/00803/LAND,Land Near The Railway Line Reddings Road Cheltenham Gloucestershire,391434,221118,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809149,09/00956/LAND,Land At Arle Springbank Road Cheltenham Gloucestershire,391570,222883,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809152,09/00869/LAND,Land At Springbank Way Cheltenham Gloucestershire,392005,223787,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809155,09/00772/LAND,Public Open Space On South Side Of Greatfield Lane Up Hatherley Cheltenham Gloucestershire,392004,220528,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809158,09/00938/LAND,Open Space Land At Greatfield Lane Up Hatherley Cheltenham Gloucestershire,392570,220520,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010012809202,09/00939/LAND,Warden Hill Allotments Warden Hill Road Cheltenham Gloucestershire,392802,220923,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809209,09/01014/LAND,Various Areas Of Open Space Greatfield Lane Up Hatherley Cheltenham Gloucestershire,392154,220435,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809210,09/01015/LAND,Open Space Rothleigh Up Hatherley Cheltenham Gloucestershire,392433,220214,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809211,09/01016/LAND,Open Space To The South Of Greatfield Lane Up Hatherley Cheltenham Gloucestershire,392567,220266,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809215,09/01020/LAND,Various Open Space Alma Road Cheltenham Gloucestershire,392880,221353,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809216,09/01021/LAND,Land At Fleckers Drive Cheltenham Gloucestershire,393021,221229,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010012809229,13/00009/LAND,Open Space Adjacent To Pilgrove Way Cheltenham Gloucestershire,392190,223961,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809231,09/00957/LAND,Arle Court Farm Arle Road Cheltenham Gloucestershire,393146,223641,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809241,09/01027/LAND,Open Land Wharfdale Square Alstone Lane Cheltenham Gloucestershire,392902,223077,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809249,09/01034/LAND,Open Space Adjoining Farmfield Road And Campion Park Campion Park Up Hatherley Cheltenham Gloucestershire,393163,220039,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809251,09/01035/LAND,Public Open Space At The Lanes Cheltenham Gloucestershire,393445,219769,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809254,09/01043/LAND,Public Open Space Adjoining Merestones Drive Cheltenham Gloucestershire,393664,220741,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809255,09/01042/LAND,Public Open Space And Play Area Billings Way Cheltenham Gloucestershire,393502,220642,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809256,09/01045/LAND,Open Space Land Off Farmfield Road Cheltenham Gloucestershire,393208,220163,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809259,09/01048/LAND,Lansdown Parade Green Lansdown Crescent Cheltenham Gloucestershire,393942,221868,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010012809270,09/00431/LAND,Public Open Space Alstone Mews Cheltenham Gloucestershire,393627,222701,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809276,09/04842/LAND,Former Honeybourne Railway Line Honeybourne Way Cheltenham Gloucestershire,393972,222473,Freehold,Leasehold,Industrial
Cheltenham Borough Council,23UB,010012809294,09/00960/LAND,Entrance To Depot Arle Road Cheltenham Gloucestershire,393496,223158,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809300,09/00255/LAND,Burrows Sports Field Merlin Way Cheltenham Gloucestershire,394295,220091,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809302,09/01609/LAND,Land At Leckhampton Hill Cheltenham Gloucestershire,394779,219326,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809302,09/02452/LAND,Land At Leckhampton Hill Cheltenham Gloucestershire,394779,219326,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,010012809302,12/00018/STRUC,Land At Leckhampton Hill Cheltenham Gloucestershire,394779,219326,Freehold,Occupied by local authority,Farmland and Farms
Cheltenham Borough Council,23UB,010012809303,09/00205/LAND,Land At Tudor Lodge Road Cheltenham Gloucestershire,394272,220980,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010012809365,09/00975/LAND,Former St James Railway Station Site St Georges Road Cheltenham Gloucestershire,394342,222546,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809365,23/00009/LAND,Former St James Railway Station Site St Georges Road Cheltenham Gloucestershire,394342,222546,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809413,09/01610/BLDG,51 Swindon Road Cheltenham Gloucestershire GL50 4AH,394723,222941,Freehold,Leasehold,Other Land
Cheltenham Borough Council,23UB,010012809437,09/00495/LAND,Land At Wymans Brook Estate Gardners Lane Cheltenham Gloucestershire,394056,223938,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809438,09/00496/LAND,Three Poritions Of Open Space Off Roman Hackle Avenue Cheltenham Gloucestershire,394426,223999,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809443,09/00996/SITE,Elmfield Estate Elmfield Avenue Cheltenham Gloucestershire,394203,223661,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809457,09/00562/LAND,Railway Cutting Charlton Lane Cheltenham Gloucestershire,395432,220056,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010012809457,10/00097/STRUC,Railway Cutting Charlton Lane Cheltenham Gloucestershire,395432,220056,Freehold,Occupied by local authority,Bridges
Cheltenham Borough Council,23UB,010012809457,10/00098/STRUC,Railway Cutting Charlton Lane Cheltenham Gloucestershire,395432,220056,Freehold,Occupied by local authority,Bridges
Cheltenham Borough Council,23UB,010012809458,09/00564/LAND,Naunton Park Asquith Road Cheltenham Gloucestershire,395188,220602,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010012809459,09/00566/LAND,Open Space Land At Charlton Park King William Drive Cheltenham Gloucestershire,395682,220789,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010012809461,09/00563/LAND,Land At Rear Of 36 To 46 (even) Mead Road Cheltenham Gloucestershire,395047,220356,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809463,09/00567/LAND,Strip Of Land Near The Chelt Old Bath Road Cheltenham Gloucestershire,395482,221513,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809464,09/00568/LAND,Oxford Parade Ornamental Gardens London Road Cheltenham Gloucestershire,395465,221927,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010012809467,09/00576/LAND,Land At College Baths Road Cheltenham Gloucestershire,395363,221457,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809529,09/00625/LAND,Western Half Of Pittville Circus Cheltenham Gloucestershire,395539,222857,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010012809546,09/01007/LAND,Berkeley Place Garden London Road Cheltenham Gloucestershire,395339,222041,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010012809547,09/00141/LAND,Car Park St James Street Cheltenham Gloucestershire,395302,222192,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010012809547,09/00069/LAND,Car Park St James Street Cheltenham Gloucestershire,395302,222192,Leasehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010012809547,09/00070/LAND,Car Park St James Street Cheltenham Gloucestershire,395302,222192,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010012809547,09/00022/LAND,Car Park St James Street Cheltenham Gloucestershire,395302,222192,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010012809553,09/00677/LAND,Land Off Windsor Street Cheltenham Gloucestershire,395745,223339,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809553,22/00004/LAND,Land Off Windsor Street Cheltenham Gloucestershire,395745,223339,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809558,09/00744/LAND,Railway Cutting From Bridge To Ash Grove Cirencester Road Charlton Kings Cheltenham Gloucestershire,396558,219671,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010012809565,09/00917/LAND,Land On The East Side Of Little Herberts Road Charlton Kings Cheltenham Gloucestershire,396683,220059,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809600,09/04849/LAND,Priors Farm Priors Road Cheltenham Gloucestershire,397229,222913,Freehold,Occupied by local authority,Farmland and Farms
Cheltenham Borough Council,23UB,010012809679,09/00978/LAND,Open Space Land On The East Side Of Bouncers Lane Cheltenham Gloucestershire,396962,223248,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809694,09/00993/LAND,Seven Parcels Of Land At Gallops Lane Cheltenham Gloucestershire,397523,223536,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809695,09/04848/LAND,Leckhampton Hill Land Off Cirencester Road Charlton Kings Cheltenham Gloucestershire,396578,218034,Freehold,Leasehold,Farmland and Farms
Cheltenham Borough Council,23UB,010012809698,09/04867/LAND,Staverton Airport Badgeworth Road Cheltenham Gloucestershire,390495,221843,Freehold,Occupied by local authority,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,010012809702,09/01000/LAND,Open Space Land At Chalford Avenue The Reddings Cheltenham Gloucestershire,390872,221421,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809703,09/01001/LAND,Open Space At Leyson Road The Reddings Cheltenham Gloucestershire,390906,220899,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809718,09/00043/BLDG,Sandford Park W C Keynsham Road Cheltenham Gloucestershire,395236,221788,Freehold,Occupied by local authority,Public Conveinences
Cheltenham Borough Council,23UB,010012809732,09/00769/LAND,Car Park Swindon Village Hall Church Road Swindon Village Cheltenham Gloucestershire,393802,225021,Freehold,Leasehold,Car Parks
Cheltenham Borough Council,23UB,010012809734,09/00767/LAND,Play Area Sandy Lane Charlton Kings Cheltenham Gloucestershire,395451,219944,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809735,09/00764/LAND,Playground Sherborne Street Cheltenham Gloucestershire,395430,222750,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809735,09/00766/LAND,Playground Sherborne Street Cheltenham Gloucestershire,395430,222750,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809742,09/00765/LAND,Car Park Glenfall Street Cheltenham Gloucestershire,395444,222745,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010012809756,09/00751/STRUC,Tennis Courts Montpellier Gardens Montpellier Walk Cheltenham Gloucestershire,394538,221741,Freehold,Occupied by local authority,Sports Facilities
Cheltenham Borough Council,23UB,010012809757,09/00760/BLDG,Beer Pavilion Imperial Garden Promenade Cheltenham Gloucestershire,394711,222058,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809758,09/00761/STRUC,Neptunes Fountain Promenade Cheltenham Gloucestershire,394696,222211,Freehold,Occupied by local authority,Art
Cheltenham Borough Council,23UB,010012809760,09/00142/BLDG,Car Park Bath Terrace Cheltenham Gloucestershire,394600,221271,Freehold,Leasehold,Public Conveinences
Cheltenham Borough Council,23UB,010012809761,09/00143/LAND,Car Park Commercial Street Cheltenham Gloucestershire,394538,221299,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010012809763,09/00971/LAND,Garages Burton Street Cheltenham Gloucestershire,394372,222764,Freehold,Occupied by local authority,Depot Industrial
Cheltenham Borough Council,23UB,010012809764,09/00256/BLDG,Pavilion Burrows Sports Field Merlin Way Cheltenham Gloucestershire,394398,220104,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809765,09/00752/BLDG,Agg Gardner Pavilion Marle Hill Road Cheltenham Gloucestershire,394968,223318,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809766,09/00753/LAND,Golf Course Pittville Park Evesham Road Cheltenham Gloucestershire,395107,223549,Freehold,Occupied by local authority,Sports Facilities
Cheltenham Borough Council,23UB,010012809767,09/00758/STRUC,Landing Stage Pittville Park Evesham Road Cheltenham Gloucestershire,395246,223495,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809768,09/00754/STRUC,Tennis Courts Pittville Park Evesham Road Cheltenham Gloucestershire,395283,223566,Freehold,Occupied by local authority,Sports Facilities
Cheltenham Borough Council,23UB,010012809769,09/00756/STRUC,Aviaries Pittville Park Evesham Road Cheltenham Gloucestershire,395386,223610,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809770,09/00757/BLDG,Central Cross Kiosk Central Cross Drive Cheltenham Gloucestershire,395383,223252,Freehold,Leasehold,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809799,09/00844/LAND,Recreational Grounds Bouncers Lane Cheltenham Gloucestershire,397154,222806,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809800,09/00846/BLDG,Cemetery Offices Bouncers Lane Cheltenham Gloucestershire GL52 5JR,396879,223017,Freehold,Occupied by local authority,Cemetery and Cremartoria
Cheltenham Borough Council,23UB,010012809801,09/00847/BLDG,Cemetery Nursery Bouncers Lane Cheltenham Gloucestershire GL52 5JR,397024,223171,Freehold,Occupied by local authority,Cemetery and Cremartoria
Cheltenham Borough Council,23UB,010012809802,09/00848/BLDG,Cemetery Chapels Bouncers Lane Cheltenham Gloucestershire,397167,223103,Freehold,Occupied by local authority,Cemetery and Cremartoria
Cheltenham Borough Council,23UB,010012809803,09/00868/LAND,Church Piece Car Park Horsefair Street Charlton Kings Cheltenham Gloucestershire,396522,220342,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010012809819,09/00926/LAND,Grange Walk Playing Field Horsefair Street Charlton Kings Cheltenham Gloucestershire,396606,220300,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809820,09/00927/STRUC,Grange Walk Tennis Courts Horsefair Street Charlton Kings Cheltenham Gloucestershire,396560,220319,Freehold,Occupied by local authority,Sports Facilities
Cheltenham Borough Council,23UB,010012809821,09/00929/LAND,Playing Field Haywards Lane Cheltenham Gloucestershire,396186,221786,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809822,09/00931/LAND,Whitefriars Car Park London Road Charlton Kings Cheltenham Gloucestershire,396393,221224,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010012809822,11/00027/LAND,Whitefriars Car Park London Road Charlton Kings Cheltenham Gloucestershire,396393,221224,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010012809838,09/00014/BLDG,Public Convenience Royal Well Road Cheltenham Gloucestershire,394751,222358,Freehold,Occupied by local authority,Public Conveinences
Cheltenham Borough Council,23UB,010012809839,09/01788/BLDG,Public Convenience College Road Cheltenham Gloucestershire,395292,221943,Freehold,Occupied by local authority,Public Conveinences
Cheltenham Borough Council,23UB,010012809842,09/00980/LAND,Lido Car Park Sandford Park College Road Cheltenham Gloucestershire,395300,221587,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010012809844,09/00994/BLDG,Public Convenience Church Piece Charlton Kings Cheltenham Gloucestershire,396588,220394,Freehold,Occupied by local authority,Public Conveinences
Cheltenham Borough Council,23UB,010012809851,09/04825/BLDG,Tennis Courts King George V Playing Fields Brooklyn Road Cheltenham Gloucestershire,392817,222816,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,010012809852,09/02964/BLDG,Public Convenience Edinburgh Place Cheltenham Gloucestershire,392192,222619,Freehold,Occupied by local authority,Public Conveinences
Cheltenham Borough Council,23UB,010012809853,09/01002/LAND,Recreation Ground Caernarvon Road Cheltenham Gloucestershire,392305,220785,Freehold,Occupied by local authority,Recreational Land and Buildings
Cheltenham Borough Council,23UB,010012809855,09/02695/LAND,Car Park Springbank Way Cheltenham Gloucestershire,392082,223927,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010012809857,09/00991/BLDG,Brizen Pavillion Up Hatherley Way Cheltenham Gloucestershire,392914,219866,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809858,09/05384/BLDG,Youth Club Grange Walk Cheltenham Gloucestershire,396600,220255,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,010012809860,09/00990/LAND,Car Park Idsall Drive Prestbury Cheltenham Gloucestershire,397170,223934,Freehold,Occupied by local authority,Car Parks
